quiz_slug,quiz_title_ru,quiz_title_ro,quiz_description_ru,quiz_description_ro,topic_id,topic_slug,question_ru,question_ro,option1_ru,option1_ro,option2_ru,option2_ro,option3_ru,option3_ro,option4_ru,option4_ro,correct_answer,explanation_ru,explanation_ro
skull-bones-quiz,Кости черепа,Oasele craniului,Тест на знание костей черепа,Test despre oasele craniului,69206b539d5cdfb719a6313d,skull-bones,Сколько костей в черепе взрослого человека?,Câte oase are craniul unui adult?,18,18,22,22,26,26,30,30,1,Череп взрослого человека состоит из 22 костей,Craniul unui adult constă din 22 de oase
skull-bones-quiz,Кости черепа,Oasele craniului,Тест на знание костей черепа,Test despre oasele craniului,69206b539d5cdfb719a6313d,skull-bones,Какая кость образует лоб?,Ce os formează fruntea?,Теменная,Parietală,Лобная,Frontală,Височная,Temporală,Затылочная,Occipitală,1,Лобная кость образует лоб и верхнюю часть глазниц,Osul frontal formează fruntea și partea superioară a orbitelor
skull-bones-quiz,Кости черепа,Oasele craniului,Тест на знание костей черепа,Test despre oasele craniului,69206b539d5cdfb719a6313d,skull-bones,Какая кость НЕ является частью черепа?,Ce os NU face parte din craniu?,Решетчатая,Etmoidală,Клиновидная,Sfenoidală,Подъязычная,Hioidă,Слезная,Lacrimală,2,Подъязычная кость расположена на шее,Osul hioid este localizat în gât
skull-bones-quiz,Кости черепа,Oasele craniului,Тест на знание костей черепа,Test despre oasele craniului,69206b539d5cdfb719a6313d,skull-bones,Где находится затылочное отверстие?,Unde se află foramenul occipital?,В лобной кости,În osul frontal,В затылочной кости,În osul occipital,В височной кости,În osul temporal,В теменной кости,În osul parietal,1,Затылочное отверстие в затылочной кости,Foramenul occipital în osul occipital
skull-bones-quiz,Кости черепа,Oasele craniului,Тест на знание костей черепа,Test despre oasele craniului,69206b539d5cdfb719a6313d,skull-bones,Какие кости образуют скуловую дугу?,Ce oase formează arcada zigomatică?,Скуловая и височная,Zigomatică și temporală,Скуловая и верхнечелюстная,Zigomatică și maxilară,Височная и теменная,Temporală și parietală,Лобная и скуловая,Frontală și zigomatică,0,Скуловую дугу образуют скуловая и височная кости,Arcada zigomatică din osul zigomatic și temporal
spine-bones-quiz,Позвоночник,Coloana vertebrală,Тест по анатомии позвоночника,Test despre anatomia coloanei,69206b549d5cdfb719a63140,vertebral-column,Сколько позвонков в шейном отделе?,Câte vertebre cervicale?,5,5,7,7,9,9,12,12,1,Шейный отдел состоит из 7 позвонков,Regiunea cervicală are 7 vertebre
spine-bones-quiz,Позвоночник,Coloana vertebrală,Тест по анатомии позвоночника,Test despre anatomia coloanei,69206b549d5cdfb719a63140,vertebral-column,Как называется первый шейный позвонок?,Cum se numește prima vertebră cervicală?,Эпистрофей,Axis,Атлант,Atlas,Промонториум,Promontoriu,Крестец,Sacru,1,Первый шейный позвонок - атлант,Prima vertebră cervicală - atlas
spine-bones-quiz,Позвоночник,Coloana vertebrală,Тест по анатомии позвоночника,Test despre anatomia coloanei,69206b549d5cdfb719a63140,vertebral-column,Сколько позвонков в грудном отделе?,Câte vertebre toracice?,7,7,10,10,12,12,14,14,2,Грудной отдел - 12 позвонков,Regiunea toracică - 12 vertebre
spine-bones-quiz,Позвоночник,Coloana vertebrală,Тест по анатомии позвоночника,Test despre anatomia coloanei,69206b549d5cdfb719a63140,vertebral-column,Какой отдел имеет физиологический лордоз?,Ce regiune are lordoză?,Грудной,Toracică,Шейный,Cervicală,Крестцовый,Sacrală,Копчиковый,Coccigiana,1,Шейный и поясничный отделы имеют лордоз,Regiunile cervicală și lombară au lordoză
spine-bones-quiz,Позвоночник,Coloana vertebrală,Тест по анатомии позвоночника,Test despre anatomia coloanei,69206b549d5cdfb719a63140,vertebral-column,Сколько позвонков срослись в крестец?,Câte vertebre în sacru?,3,3,5,5,7,7,9,9,1,Крестец - 5 сросшихся позвонков,Sacrul - 5 vertebre fuzionate
thorax-bones-quiz,Грудная клетка,Toracele,Тест по костям грудной клетки,Test despre oasele toracice,69206b549d5cdfb719a63143,thorax-bones,Сколько пар ребер у человека?,Câte perechi de coaste?,10,10,12,12,14,14,16,16,1,У человека 12 пар ребер,Omul are 12 perechi de coaste
thorax-bones-quiz,Грудная клетка,Toracele,Тест по костям грудной клетки,Test despre oasele toracice,69206b549d5cdfb719a63143,thorax-bones,Сколько истинных ребер?,Câte coaste adevărate?,5,5,7,7,9,9,10,10,1,7 пар истинных ребер,7 perechi de coaste adevărate
thorax-bones-quiz,Грудная клетка,Toracele,Тест по костям грудной клетки,Test despre oasele toracice,69206b549d5cdfb719a63143,thorax-bones,Какая кость образует переднюю стенку грудной клетки?,Ce os formează peretele anterior?,Ключица,Clavicula,Грудина,Sternul,Лопатка,Scapula,Ребра,Coastele,1,Грудина образует переднюю стенку,Sternul formează peretele anterior
thorax-bones-quiz,Грудная клетка,Toracele,Тест по костям грудной клетки,Test despre oasele toracice,69206b549d5cdfb719a63143,thorax-bones,Сколько ложных ребер?,Câte coaste false?,3,3,5,5,7,7,8,8,1,5 пар ложных ребер (8-12 пары),5 perechi de coaste false (8-12)
thorax-bones-quiz,Грудная клетка,Toracele,Тест по костям грудной клетки,Test despre oasele toracice,69206b549d5cdfb719a63143,thorax-bones,Какие части имеет грудина?,Ce părți are sternul?,Рукоятка тело мечевидный отросток,Manubriu corp și proces xifoid,Головка шейка тело,Cap gât și corp,Основание верхушка,Bază și apex,Головка бугорок,Cap și tubercul,0,Грудина: рукоятка тело мечевидный отросток,Sternul: manubriu corp proces xifoid
upper-limb-bones-quiz,Кости верхней конечности,Oasele membrului superior,Тест по костям верхней конечности,Test despre oasele membrului superior,69206b549d5cdfb719a63146,upper-limb-bones,Сколько костей в кисти руки?,Câte oase în mână?,18,18,27,27,32,32,35,35,1,Кисть содержит 27 костей,Mâna conține 27 de oase
upper-limb-bones-quiz,Кости верхней конечности,Oasele membrului superior,Тест по костям верхней конечности,Test despre oasele membrului superior,69206b549d5cdfb719a63146,upper-limb-bones,Какая самая длинная кость верхней конечности?,Care este cel mai lung os al brațului?,Лучевая,Radială,Локтевая,Ulnară,Плечевая,Humerală,Ключица,Claviculă,2,Плечевая кость - самая длинная,Humerusul este cel mai lung
upper-limb-bones-quiz,Кости верхней конечности,Oasele membrului superior,Тест по костям верхней конечности,Test despre oasele membrului superior,69206b549d5cdfb719a63146,upper-limb-bones,Сколько фаланг в большом пальце?,Câte falange în degetul mare?,1,1,2,2,3,3,4,4,1,Большой палец имеет 2 фаланги,Degetul mare are 2 falange
upper-limb-bones-quiz,Кости верхней конечности,Oasele membrului superior,Тест по костям верхней конечности,Test despre oasele membrului superior,69206b549d5cdfb719a63146,upper-limb-bones,Какая кость предплечья со стороны большого пальца?,Ce os al antebrațului e lângă degetul mare?,Локтевая,Ulna,Лучевая,Radius,Плечевая,Humerus,Запястная,Carpiană,1,Лучевая кость со стороны большого пальца,Radiusul e lângă degetul mare
upper-limb-bones-quiz,Кости верхней конечности,Oasele membrului superior,Тест по костям верхней конечности,Test despre oasele membrului superior,69206b549d5cdfb719a63146,upper-limb-bones,Что соединяет плечевой пояс с грудной клеткой?,Ce conectează centura scapulară cu toracele?,Лопатка,Scapula,Ключица,Clavicula,Плечевая кость,Humerus,Грудина,Stern,1,Ключица соединяет с грудной клеткой,Clavicula conectează cu toracele
lower-limb-bones-quiz,Кости нижней конечности,Oasele membrului inferior,Тест по костям нижней конечности,Test despre oasele membrului inferior,69206b549d5cdfb719a63149,lower-limb-bones,Какая самая длинная кость в теле?,Care este cel mai lung os?,Большеберцовая,Tibia,Малоберцовая,Fibula,Бедренная,Femur,Плечевая,Humerus,2,Бедренная кость - самая длинная,Femur este cel mai lung os
lower-limb-bones-quiz,Кости нижней конечности,Oasele membrului inferior,Тест по костям нижней конечности,Test despre oasele membrului inferior,69206b549d5cdfb719a63149,lower-limb-bones,Сколько костей в стопе?,Câte oase în picior?,22,22,26,26,30,30,33,33,1,Стопа содержит 26 костей,Piciorul conține 26 de oase
lower-limb-bones-quiz,Кости нижней конечности,Oasele membrului inferior,Тест по костям нижней конечности,Test despre oasele membrului inferior,69206b549d5cdfb719a63149,lower-limb-bones,Как называется коленная чашечка?,Cum se numește rotula?,Надколенник,Rotula,Мыщелок,Condil,Бугристость,Tuberozitate,Головка,Cap,0,Надколенник - коленная чашечка,Rotula - capul genunchiului
lower-limb-bones-quiz,Кости нижней конечности,Oasele membrului inferior,Тест по костям нижней конечности,Test despre oasele membrului inferior,69206b549d5cdfb719a63149,lower-limb-bones,Какая кость голени несет основную нагрузку?,Ce os al gambei suportă sarcina?,Малоберцовая,Fibula,Большеберцовая,Tibia,Бедренная,Femur,Таранная,Talus,1,Большеберцовая несет основную нагрузку,Tibia suportă sarcina principală
lower-limb-bones-quiz,Кости нижней конечности,Oasele membrului inferior,Тест по костям нижней конечности,Test despre oasele membrului inferior,69206b549d5cdfb719a63149,lower-limb-bones,Самая крупная кость предплюсны?,Cel mai mare os tarsian?,Таранная,Talus,Пяточная,Calcaneus,Ладьевидная,Navicular,Кубовидная,Cuboid,1,Пяточная - самая крупная,Calcaneul este cel mai mare
